1;Cucumber;15
2;Tomato;4
3;Onion;2
4;Salad;20
5;Parsley;19
6;Basil;22
7;Lemon;10
8;Appel;5
9;Pear;9
10;Banana;4
11;Melon;28
12;Grapes;35
13;Bread;30
14;Knäckebröd;22
15;Skorpa;20
16;Riskaka;15
17;Cookie;20
18;Ham;30
19;Meatballs;23
20;Sausage;36
21;Minced meat;89
22;Chicken;105
23;Salmon;109
24;Cod;70
25;Liver paste;15
26;Milk;12
27;Yoghurt;25
28;Butter;60
29;Cheese;99
30;Cream;29
31;Cream Fraiche;16
32;Beans;10
33;Taco seasoning;10
34;Tortilla;15
35;Chips;29
36;Candy;125
37;Chocolate;22
38;Ice cream;30
39;Soda;19
40;Juice;18
